Año Censal,Entidad,Municipio,Edad mediana,Grado promedio de escolaridad de la población de 15 y más años,Hogares censales,Población de 5 años y más que asiste a la escuela,Población derechohabiente a servicios de salud,Población en hogares censales,Población en hogares familiares,Población en hogares no familiares,Población total,Porcentaje de población de 15 a 29 años,Porcentaje de población de 60 y más años,Promedio de ocupantes en viviendas particulares habitadas,Tamaño promedio de los hogares censales,Total de viviendas particulares habitadas,Viviendas particulares habitadas,Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda,Viviendas particulares habitadas que disponen de computadora,Viviendas particulares habitadas que disponen de drenaje,Viviendas particulares habitadas que disponen de energía eléctrica,Viviendas particulares habitadas que disponen de excusado o sanitario,Viviendas particulares habitadas que disponen de lavadora,UE Unidades económicas,H010A Personal remunerado total,J000A Total de remuneraciones (millones de pesos),K000A Total de gastos por consumo de bienes y servicios (millones de pesos),M000A Total de ingresos por suministro de bienes y servicios (millones de pesos),A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A800A Total de ingresos (millones de pesos),A700A Total de gastos (millones de pesos),UE Sector 62 Servicios de salud y de asistencia social,UE Subsector 621 Servicios médicos de consulta externa y servicios relacionados,UE Subsector 622 Hospitales,UE Subsector 623 Residencias de asistencia social y para el cuidado de la salud,total_area,Prod_Bruta_Per_Capita,%_Pob_Derechohabiente,Densidad_Poblacional,Economic_Units_Per_Capita,Health_Units_Per_Capita,xgb_prediction,num_farms_real,Difference
2024,sinaloa,angostura,37.4,9.583233587518627,13399.4,10085.4,40701.0,43145.2,41320.8,1832.4,43733.0,21.201682806794683,19.90429591998724,3.200578007881932,3.1998517488997,13394.2,13354.6,13533.6,3565.6000000000004,13191.2,13373.2,13125.4,11499.4,649.2,781.4,63.99200000000001,2004.042,2379.612,551.7489999999999,204.9096,346.83940000000007,7.4874,2424.4218,2030.2074,63.2,51.0,0.0,2.2,1886426537.6405964,12616.308051128435,93.06702032789885,0.023182985993559,0.014844625340132167,0.0014451329659524845,12.643581,24.0,-11.35641860961914
2024,sinaloa,badiraguato,29.6,7.517823497563614,7104.8,6870.4,20947.4,25109.2,24171.0,936.2,25159.2,19.89912945166764,14.93193894855854,3.543795551871812,3.540855172413796,7102.0,6945.2,8209.400000000001,563.8,6595.4,7431.8,6885.6,5116.0,145.2,170.4,16.717,538.201,669.5482,181.7588,46.941,134.81779999999998,13.411,689.1048,550.0663999999999,16.4,15.4,0.0,0.0,4789967102.359892,7224.347356036757,83.25940411459824,0.0052524786626623,0.00577124868835257,0.0006518490254062132,4.961566,6.0,-1.0384340286254883
2024,sinaloa,choix,31.0,7.857406270847238,8304.0,7307.0,27219.2,27870.0,26500.2,1372.1999999999998,27868.4,20.93474602849936,17.12541078611856,3.349660738378508,3.344780821917802,8296.4,8250.8,8879.2,901.8,7575.200000000001,8253.4,7834.0,4999.4,282.4,432.0,25.1908,596.5418,694.3739999999999,142.4106,49.3258,93.0848,4.798,708.343,603.7672,11.8,10.8,0.0,0.0,3189303535.249794,5110.110375909632,97.67047982661366,0.0087380833125428,0.010133340988359574,0.0004234186390320219,5.987993,10.0,-4.012007236480713
2024,sinaloa,concordia,34.4,9.346686110655966,7163.6,5997.6,21503.6,23367.0,22171.0,1196.8,23461.4,19.58608940118072,19.29254990160244,3.2658640776699017,3.2651563192904622,7163.2,7144.0,7397.8,1951.8,6970.4,7172.0,6961.4,5203.2,226.4,659.2,64.3308,1846.6932,2179.3786000000005,427.6773999999999,82.26540000000001,345.41200000000003,26.2566,2193.2148,1905.8574,17.6,10.6,0.0,0.0,2143745200.454844,18228.980367752985,91.65522944069832,0.0109441177967522,0.00964989301576206,0.0007501683616493475,9.277932,15.0,-5.722067832946777
2024,sinaloa,cosala,27.6,8.418416295789118,4378.0,4818.8,14748.8,17001.2,16462.2,543.0,17138.0,22.55180813543384,13.9450646602399,3.857773512476008,3.853665548634404,4377.2,4351.4,4500.200000000001,784.0,4175.6,4368.0,4284.8,3212.8,170.0,191.0,14.618,92.23720000000004,126.7594,41.99580000000001,13.1064,28.8894,-1.7060000000000004,142.20280000000002,95.44859999999996,17.2,14.0,0.0,0.0,2149040857.240064,2450.4492939666243,86.05905006418485,0.0079747204164418,0.009919477185202474,0.0010036176916793091,5.7001195,11.0,-5.299880504608154
2024,sinaloa,culiacan,30.2,11.51590470795064,306904.2,291008.6,864607.2,1048536.2,1002422.4,43872.0,1061486.8,25.212809005589538,12.373448884833522,3.374882572552146,3.37341786501969,306122.6,291039.4,306521.6,156529.0,305017.6,305860.2,305166.6,254928.0,14800.8,42451.8,5840.7094,78579.34460000001,95835.9046,29162.2526,12111.6694,17050.5832,166.71960000000007,97536.1176,80222.8556,2743.0,2364.4,13.0,56.6,6238983879.467089,27473.024252397678,81.45246836795333,0.1701377693078233,0.013943461190473587,0.0025841112673280534,379.5233,631.0,-251.47671508789062
2024,sinaloa,el fuerte,31.2,9.348312883180864,27552.2,23948.6,75139.8,95826.2,91885.8,3947.6,96215.8,22.58554671968194,16.868561961563902,3.454643191778754,3.453663458998448,27539.8,27331.0,27474.4,5598.6,24341.6,27146.8,26576.4,16522.8,866.4,898.8,83.1516,2412.4724,3100.9976,827.1375999999999,189.30240000000003,637.8352,72.0812,3172.326,2445.4162,73.6,57.4,2.0,0.0,4133798767.0559177,8596.69201939806,78.09507378206074,0.0232753952047173,0.00900475805429046,0.0007649471292656715,27.332558,34.0,-6.667442321777344
2024,sinaloa,elota,25.8,8.235178840409507,12904.6,14285.8,53253.0,48829.6,47144.2,1645.4,60311.8,27.85222127782698,10.16632077689567,3.7671348499835178,3.762971306421116,12901.8,12567.2,13174.0,2917.0,12866.8,12777.2,12669.6,9013.0,447.0,663.0,73.9118,2748.6164,3308.253,844.5688,275.9218,568.6469999999999,17.3652,3405.1192,2776.7194,44.4,41.4,0.0,2.2,1625625172.660592,14003.375790475497,88.29615431806047,0.0371006804116414,0.007411484983038145,0.0007361743473084868,14.317029,15.0,-0.6829710006713867
2024,sinaloa,escuinapa,29.2,9.47085619743554,17462.4,15258.6,52762.8,62314.0,59679.4,2607.0,62330.8,24.086505421184334,14.60683903252708,3.5387249953723763,3.535398203961132,17379.6,17402.2,18366.2,4576.6,17202.4,17212.8,17030.2,11583.0,1228.4,1277.8,113.745,3671.9404,4660.0964,1483.0782000000002,486.4778,996.6004,6.260799999999996,4734.0004,3738.243,94.8,81.6,0.0,0.0,1538058052.6502266,23793.665411000664,84.6496435149236,0.0405256484907041,0.0197077528284572,0.0015209174276601615,27.459747,34.0,-6.540252685546875
2024,sinaloa,guasave,33.0,10.029003083623856,80796.0,71857.6,236674.0,284192.4,274068.6,10096.4,290753.2,23.30897622989632,16.38434982181928,3.499788525623706,3.4978624284283764,80764.8,80423.6,83319.6,24010.6,79497.2,80240.4,79794.0,62373.6,4982.6,6227.8,569.3664,13800.9652,17514.9366,5428.775599999999,1748.8583999999998,3679.9172,29.17680000000001,17869.864,14151.178800000002,526.8,466.8,5.0,4.4,2909757039.10114,18671.421673089066,81.40030788999054,0.0999235317907564,0.0171368707205974,0.001811845922933952,120.348526,137.0,-16.651473999023438
