Año Censal,Entidad,Municipio,Edad mediana,Grado promedio de escolaridad de la población de 15 y más años,Hogares censales,Población de 5 años y más que asiste a la escuela,Población derechohabiente a servicios de salud,Población en hogares censales,Población en hogares familiares,Población en hogares no familiares,Población total,Porcentaje de población de 15 a 29 años,Porcentaje de población de 60 y más años,Promedio de ocupantes en viviendas particulares habitadas,Tamaño promedio de los hogares censales,Total de viviendas particulares habitadas,Viviendas particulares habitadas,Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda,Viviendas particulares habitadas que disponen de computadora,Viviendas particulares habitadas que disponen de drenaje,Viviendas particulares habitadas que disponen de energía eléctrica,Viviendas particulares habitadas que disponen de excusado o sanitario,Viviendas particulares habitadas que disponen de lavadora,UE Unidades económicas,H010A Personal remunerado total,J000A Total de remuneraciones (millones de pesos),K000A Total de gastos por consumo de bienes y servicios (millones de pesos),M000A Total de ingresos por suministro de bienes y servicios (millones de pesos),A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A800A Total de ingresos (millones de pesos),A700A Total de gastos (millones de pesos),UE Sector 62 Servicios de salud y de asistencia social,UE Subsector 621 Servicios médicos de consulta externa y servicios relacionados,UE Subsector 622 Hospitales,UE Subsector 623 Residencias de asistencia social y para el cuidado de la salud,total_area,Prod_Bruta_Per_Capita,%_Pob_Derechohabiente,Densidad_Poblacional
2018,nayarit,tepic,29.2,10.986478275735601,121278.4,118281.2,326375.4,411733.0,393471.4,17847.2,416789.0,25.56673261228816,11.854071288031761,3.40683901602376,3.4057892634682156,121495.8,118472.0,119413.2,59123.0,119939.2,120301.8,119991.8,94076.0,7870.0,10401.0,681.975,19016.083,24049.848,7376.125,2373.264,5002.861,266.424,24448.382,19346.412,1329.0,1112.0,15.0,31.0,1587000004.947993,17697.504012821835,78.30710503396203,0.26262696830530785
2024,nayarit,tepic,31.6,11.546336982537301,136001.2,123707.6,351514.2,440818.0,417740.2,22451.6,444194.0,23.666782071504276,14.069624754055582,3.2094682780415797,3.2076312110693777,135566.4,131090.0,134955.6,70655.0,134737.6,134870.4,134809.4,105752.0,8490.4,12708.6,921.1194,27114.293799999996,35428.92480000001,11619.8266,3430.1136,8189.713000000001,336.62159999999994,36094.3052,27628.746,1663.8,1431.2,24.6,50.2,1587000004.947993,26159.350644087943,79.13528773463847,0.27989539925335827
2003,nayarit,tuxpan,26.4,7.26,8077.6,8202.6,15572.2,29488.0,28462.0,1019.6,29610.8,23.88,12.02,3.72,3.648,8006.8,7977.0,6468.2,423.0,7078.2,7859.4,7580.4,5457.0,669.0,337.0,11.529,298.033,349.746,77.169,19.65,57.519,8.614,349.95,298.589,43.0,30.0,2.0,0.0,310749465.2196928,2606.109932862334,52.58959568805977,0.09528833775809022
2008,nayarit,tuxpan,28.6,7.818,8436.8,7971.8,22148.4,29344.4,28101.8,1220.8,29438.0,23.68,13.56,3.504,3.48,8430.6,8410.8,6326.0,1173.8,8045.0,8326.2,8117.2,6114.2,768.0,371.0,17.505,318.215,397.592,108.292,28.149,80.143,1.812,397.683,322.035,45.0,32.0,1.0,1.0,310749465.2196928,3678.646647190706,75.23744819620899,0.09473226278664068
2013,nayarit,tuxpan,30.2,8.392432305279664,8948.5,7615.0,24092.2,29991.3,28572.8,1396.2,30040.2,23.4612334508682,15.02320537555718,3.358793147208122,3.357562743651881,8953.4,8883.7,6886.4,1712.7,8627.5,8871.8,8701.9,6788.9,771.0,494.0,26.029,621.542,753.226,186.112,52.238,133.874,10.945,763.937,640.923,49.0,31.0,0.0,1.0,310749465.2196928,6195.431455183388,80.19986551354519,0.09667015831793069
2018,nayarit,tuxpan,32.2,8.99648614741244,9336.0,7135.0,24039.2,30026.8,28435.8,1583.2,30057.2,22.5632892023152,16.72854766815248,3.223448392554992,3.220167316405016,9337.4,9163.2,8490.4,1992.2,9105.0,9259.8,9128.4,7505.4,788.0,609.0,38.135,812.458,1070.064,325.877,64.56,261.317,4.433,1115.086,823.62,47.0,34.0,0.0,1.0,310749465.2196928,10841.894787272267,79.97817494643546,0.0967248647676682
2024,nayarit,tuxpan,34.6,9.72135075797177,9801.0,6559.0,23975.6,30069.4,28271.4,1807.6,30077.6,21.485756104051603,18.77495841926684,3.061034686971236,3.0552928037087783,9798.2,9498.6,10415.2,2327.6,9678.0,9725.4,9640.2,8365.2,808.4,747.0,52.6622,1041.5571999999997,1450.2696,493.595,79.3464,414.2486,-3.3813999999999993,1536.4648,1042.8564000000001,44.6,37.6,0.0,1.0,310749465.2196928,16410.717610447642,79.71247705933983,0.09679051250735321
2003,nayarit,xalisco,22.8,8.34,9907.8,12083.0,23492.8,39636.2,38907.0,712.6,40801.4,27.740000000000002,7.199999999999999,4.08,4.0120000000000005,9980.6,9799.0,9275.0,1191.0,9230.4,9628.4,9349.0,6723.6,512.0,206.0,5.21,174.513,211.099,49.925,9.646,40.279,5.663,211.136,174.905,20.0,19.0,0.0,0.0,531261998.21682453,1223.609974167553,57.578416426887316,0.07680090075508784
2008,nayarit,xalisco,24.6,9.126,11906.4,13845.6,32900.0,45693.4,44681.2,997.0,46618.4,26.86,7.78,3.874,3.842,12093.2,11870.4,11461.6,3272.3999999999996,11631.0,11760.6,11605.0,9054.4,660.0,370.0,14.415,295.968,343.368,76.925,26.581,50.344,5.6,345.4,299.802,45.0,30.0,1.0,0.0,531261998.21682453,1650.099531515453,70.57299263809998,0.08775030052304547
2013,nayarit,xalisco,25.9,9.83189177762354,14541.0,15930.8,41292.2,53257.9,51715.7,1515.2,53940.1,26.10404440080393,8.568708786572351,3.689670959433355,3.689337333904843,14665.6,14320.5,14243.1,5621.4,14380.0,14443.8,14377.2,11437.7,751.0,336.0,15.769,466.18,593.907,184.628,49.635,134.993,9.1,600.732,470.075,48.0,31.0,0.0,0.0,531261998.21682453,3422.833847174922,76.55195299971635,0.10153201279415691
2018,nayarit,xalisco,27.4,10.53504474032944,17486.0,18138.8,47839.2,61269.4,59075.2,2152.2,62003.6,25.11078506881048,9.6832234308596,3.52245589182228,3.521566223746248,17521.6,16898.0,17231.6,7810.4,17325.0,17381.8,17324.2,13927.2,944.0,683.0,45.302,1047.303,1278.675,326.231,102.677,223.554,3.481,1307.394,1058.18,85.0,63.0,0.0,2.0,531261998.21682453,5261.484817010625,77.15552000206439,0.11671002294181487
2024,nayarit,xalisco,29.2,11.37882829557652,21020.0,20788.4,55695.600000000006,70883.2,67906.6,2916.6000000000004,71679.8,23.91887387041834,11.0206410040043,3.32179781068899,3.320240891555934,20948.800000000003,19991.0,20817.800000000003,10437.2,20859.0,20907.4,20860.6,16914.6,1175.6,1099.4,80.7416,1744.6506000000002,2100.3966,496.1546,166.3274,329.82720000000006,-3.261799999999999,2155.3884,1763.9060000000002,129.4,101.4,0.0,4.4,531261998.21682453,6921.81897828956,77.7005516198427,0.1349236351190044
2003,nuevo leon,agualeguas,32.4,6.62,1214.4,697.2,1871.0,3762.6,3549.2,210.8,3878.2,22.259999999999998,20.1,3.18,3.09,1226.4,1196.0,1060.8,43.2,981.6,1167.4,1145.6,993.4,58.0,77.0,2.264,32.913,42.888,12.736,2.943,9.793,0.123,43.188,33.909,5.0,5.0,0.0,0.0,972463086.3991841,3283.9977309060905,48.24403073590841,0.003988017698810674
2008,nuevo leon,agualeguas,35.2,7.002000000000001,1169.4,688.2,2483.8,3465.0,3229.8,231.6,3480.6,19.72,22.16,2.998,2.962,1167.4,1162.2,1084.0,119.80000000000001,1047.2,1137.0,1123.2,1009.6,67.0,56.0,1.842,14.309,16.318,3.372,1.25,2.122,0.113,16.318,14.344,7.0,7.0,0.0,0.0,972463086.3991841,968.798483020169,71.36125955295066,0.0035791589919241997
2013,nuevo leon,agualeguas,37.65,7.385671575846833,1203.3,669.2,2889.5,3418.7,3144.6,271.3,3424.7,18.54053222945004,23.60829095209936,2.847062992125983,2.845976452119308,1204.7,1198.2,1153.0,192.8,1138.0,1179.2,1172.0,1055.4,52.0,34.0,1.724,34.387,40.297,8.882,2.846,6.036,0.135,41.497,34.392,4.0,4.0,0.0,0.0,972463086.3991841,2593.5118404531786,84.3723537828131,0.0035216760902266296
2018,nuevo leon,agualeguas,40.4,7.9117908689248875,1253.8,626.2,3007.0,3388.2,3080.6,306.8,3394.2,17.441419278533438,25.28877587226496,2.7088346456692878,2.705937205651488,1254.2,1240.2,1228.0,245.8,1208.0,1236.2,1232.0,1104.4,39.0,60.0,3.108,57.066,80.84,29.109,5.438,23.671,-4.756,80.867,57.813,2.0,2.0,0.0,0.0,972463086.3991841,8576.100406575924,88.59230451947441,0.003490312431876435
2024,nuevo leon,agualeguas,43.7,8.543134020618554,1314.4,574.6,3148.0,3351.6,3003.8,349.4,3357.6,16.12248373743352,27.305357776463676,2.5429606299212537,2.5378901098901037,1313.6,1290.6,1318.0,309.4,1292.0,1304.6,1304.0,1163.2,23.4,91.2,4.768800000000001,84.2808,129.4916,53.381400000000006,8.5484,44.833,-10.6252,128.111,85.9182,-0.40000000000000036,-0.40000000000000036,0.0,0.0,972463086.3991841,15898.677626876342,93.75744579461521,0.0034526760418562012
2003,nuevo leon,allende,25.6,7.56,7834.8,6630.0,18567.0,28449.2,27752.2,676.6,28850.0,26.42,9.74,3.64,3.636,7818.2,7748.6,6908.6,1137.4,6716.8,7668.2,7567.2,6737.4,440.0,991.0,40.867,802.9,987.164,247.748,51.479,196.269,17.714,987.81,806.705,21.0,21.0,0.0,0.0,188559088.06342918,8587.452339688041,64.35701906412478,0.1530024370413543
