Año Censal,Entidad,Municipio,farms,Total_Ingresos_Millones
2003,ciudad de mexico,iztapalapa,891.0,722.914
2003,ciudad de mexico,la magdalena contreras,72.0,129.743
2003,ciudad de mexico,milpa alta,49.0,39.813
2003,ciudad de mexico,alvaro obregon,249.0,411.188
2003,ciudad de mexico,tlahuac,196.0,95.582
2003,ciudad de mexico,tlalpan,276.0,1401.761
2003,ciudad de mexico,xochimilco,168.0,237.613
2003,ciudad de mexico,benito juarez,190.0,1043.26
2003,ciudad de mexico,cuauhtemoc,332.0,2514.524
2003,ciudad de mexico,miguel hidalgo,183.0,870.13
2003,ciudad de mexico,venustiano carranza,251.0,306.579
2003,durango,canatlan,7.0,3.963
2003,durango,durango,189.0,429.462
2003,durango,general simon bolivar,3.0,0.802
2003,durango,gomez palacio,78.0,199.935
2003,durango,guadalupe victoria,22.0,11.798
2003,durango,lerdo,28.0,44.886
2003,durango,mapimi,10.0,3.327
2003,durango,nazas,3.0,1.59
2003,durango,ocampo,6.0,3.283
2003,durango,el oro,8.0,7.946
2003,durango,rodeo,7.0,3.834
2003,durango,santiago papasquiaro,16.0,15.376
2003,durango,suchil,3.0,0.44
2003,durango,tamazula,3.0,0.783
2003,durango,tepehuanes,6.0,2.762
2003,durango,tlahualilo,3.0,0.93
2003,durango,vicente guerrero,14.0,12.379
2003,durango,nuevo ideal,10.0,4.36
2003,guanajuato,abasolo,20.0,59.410000000000004
2003,guanajuato,acambaro,70.0,143.4
2003,guanajuato,san miguel de allende,52.0,62.785
2003,guanajuato,apaseo el alto,16.0,21.959
2003,guanajuato,apaseo el grande,14.0,22.312
2003,guanajuato,celaya,171.0,416.79999999999995
2003,guanajuato,manuel doblado,12.0,12.411
2003,guanajuato,comonfort,20.0,27.373
2003,guanajuato,coroneo,7.0,11.35
2003,guanajuato,cortazar,32.0,67.861
2003,guanajuato,cueramaro,11.0,11.599
2003,guanajuato,dolores hidalgo cuna de la independencia nacional,20.0,40.3
2003,guanajuato,guanajuato,37.0,119.738
2003,guanajuato,huanimaro,10.0,15.463000000000001
2003,guanajuato,irapuato,165.0,414.834
2003,guanajuato,jaral del progreso,14.0,19.457
2003,guanajuato,jerecuaro,7.0,11.909
2003,guanajuato,leon,456.0,1338.6
2003,guanajuato,moroleon,38.0,83.118
2003,guanajuato,penjamo,32.0,128.785
2003,guanajuato,pueblo nuevo,5.0,4.895
2003,guanajuato,purisima del rincon,4.0,5.984
2003,guanajuato,romita,16.0,32.358
2003,guanajuato,salamanca,65.0,177.482
2003,guanajuato,salvatierra,62.0,81.997
2003,guanajuato,san felipe,17.0,26.495
