Año Censal,Entidad,Municipio,UE Unidades económicas,A131A Valor agregado censal bruto (millones de pesos),Q000A Acervo total de activos fijos (millones de pesos),M000A Total de ingresos por suministro de bienes y servicios (millones de pesos),A121A Consumo intermedio (millones de pesos),A700A Total de gastos (millones de pesos),Q000B Depreciación total de activos fijos (millones de pesos),K810A Gastos por publicidad (millones de pesos),P000A Total de inventario inicial (millones de pesos),P000B Total de inventario final (millones de pesos),P000C Variación total de existencias (millones de pesos),K412A Gasto por consumo de energía eléctrica (millones de pesos),"J203A Total de sueldos al personal administrativo, contable y de dirección (millones de pesos)",Q000C Compras totales de activos fijos (millones de pesos),Q000D Ventas totales de activos fijos (millones de pesos),P030B Total de inventario final de productos en proceso (millones de pesos),A534A Tasa de rentabilidad promedio (Porcentaje),A231A Margen bruto de operación (Porcentaje),A436A Ingresos por suministro de bienes y servicios por persona ocupada (Pesos),A171A Remuneración media por persona ocupada remunerada (Pesos),J000A Total de remuneraciones (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos)
2003,coahuila de zaragoza,castanos,7,0.515,0.44,2.1159999999999997,0.291,1.954,0.077,0.0,0.002,0.35500000000000004,0.35300000000000004,0.093,0.0,0.0,0.0,0.0,-5.618,-6.9190000000000005,205000.0,53166.667,0.292,0.0
2003,coahuila de zaragoza,cuatro cienegas,4,0.247,0.042,0.69,0.037,0.492,0.005,0.0,0.0,0.049,0.049,0.011,0.024,0.0,0.0,0.0,19.584,16.377,86250.0,21250.0,0.085,0.0
2003,coahuila de zaragoza,francisco i. madero,19,6.321999999999999,6.211,16.822,0.63,11.693,0.41500000000000004,0.025,3.399,4.583,1.184,0.179,0.086,0.322,0.0,0.0,60.156,46.114999999999995,473123.355,72869.231,1.357,0.322
2003,coahuila de zaragoza,frontera,10,2.864,1.135,6.948,0.404,4.76,0.168,0.033,0.008,0.677,0.669,0.08,0.0,0.0,0.0,0.0,34.729,25.777,277920.0,31076.923,0.404,0.0
2003,coahuila de zaragoza,general cepeda,4,0.182,0.319,1.129,0.091,0.927,0.048,0.0,0.07,0.05,-0.02,0.01,0.0,0.0,0.0,0.0,19.724,16.475,125444.444,16000.0,0.016,0.0
2003,coahuila de zaragoza,matamoros,28,8.368,3.292,25.816,1.282,19.128,0.393,0.005,0.496,1.914,1.418,0.254,0.0,0.253,0.0,0.0,26.941,21.223,311036.145,34885.714,1.221,0.253
2003,coahuila de zaragoza,monclova,52,37.437,3.5709999999999997,132.275,9.123,97.656,0.662,0.246,11.104,13.546,2.442,1.5890000000000002,0.186,0.008,0.0,0.0,49.804,39.736000000000004,906954.17,77592.17199999999,9.391,0.008
2003,coahuila de zaragoza,muzquiz,15,2.845,0.79,20.638,0.815,17.684,0.057,0.0,1.802,1.688,-0.114,0.106,0.104,0.002,0.0,0.0,10.654,9.628,491380.952,40500.0,0.972,0.002
2003,coahuila de zaragoza,ocampo,4,0.108,0.378,0.503,0.049,0.399,0.043,0.0,0.0,0.024,0.024,0.01,0.022,0.0,0.0,0.0,5.23,4.97,55888.889,19750.0,0.079,0.0
2003,coahuila de zaragoza,parras,12,1.401,1.257,3.537,0.316,2.242,0.145,0.017,0.125,0.181,0.056,0.05,0.0,0.01,0.0,0.0,39.913,28.527,114096.774,19764.706,0.336,0.01
2003,coahuila de zaragoza,piedras negras,47,40.214,10.678,147.94,10.533999999999999,110.262,0.8200000000000001,0.435,19.21,20.423000000000002,1.213,2.451,1.326,0.314,0.0,0.0,41.757000000000005,34.483,989906.262,121589.40400000001,14.358,0.314
2003,coahuila de zaragoza,ramos arizpe,5,1.143,0.527,5.07,0.432,4.034,0.061,0.011,0.653,0.674,0.021,0.115,0.0,0.017,0.0,0.0,10.941,9.862,316875.0,51833.333,0.622,0.017
2003,coahuila de zaragoza,sabinas,20,13.864999999999998,5.254,45.022,2.658,34.15,0.554,0.201,14.687,17.113000000000003,2.4259999999999997,0.384,0.844,1.094,0.0,0.0,44.696,36.531,860363.9750000001,79556.818,2.9619999999999997,1.094
2003,coahuila de zaragoza,saltillo,129,125.237,26.195999999999998,459.972,29.152,342.152,2.7560000000000002,1.899,43.749,49.622,5.872999999999999,3.4859999999999998,4.251,0.867,0.0,0.0,48.865,38.514,1450358.158,112658.57200000001,31.336,0.867
2003,coahuila de zaragoza,san buenaventura,5,1.534,0.496,5.236,0.264,3.874,0.057,0.005,0.175,0.346,0.171,0.037,0.0,0.0,0.0,0.0,27.926,21.83,402769.231,31428.571,0.22,0.0
2003,coahuila de zaragoza,san juan de sabinas,11,5.535,0.987,16.224999999999998,1.165,11.511999999999999,0.104,0.026000000000000002,4.715,5.4959999999999996,0.781,0.183,0.047,0.028,0.0,0.0,66.188,49.528999999999996,829783.333,79767.857,0.978,0.028
2003,coahuila de zaragoza,san pedro,20,6.359,3.206,20.263,0.716,15.253,0.246,0.022,0.467,1.792,1.325,0.121,0.135,0.0,0.0,0.0,24.336,19.573,397313.725,32363.636,1.068,0.0
2003,coahuila de zaragoza,torreon,208,129.802,55.188,795.249,62.303,682.223,5.117,4.0120000000000005,59.92,71.953,12.033,5.643000000000001,4.278,8.419,0.231,0.0,37.255,30.62,1095764.888,104915.714,30.458,8.188
2003,coahuila de zaragoza,zaragoza,5,1.243,1.298,4.9,0.144,3.908,0.073,0.002,0.0,0.251,0.251,0.027,0.045,0.0,0.0,0.0,18.932,15.918,350000.0,35333.333,0.212,0.0
2003,colima,armeria,14,1.882,1.275,4.9639999999999995,0.33399999999999996,3.122,0.046,0.013000000000000001,0.29,0.29,0.0,0.13699999999999998,0.0,0.043,0.0,0.0,75.295,54.431,254476.19,47916.666,0.383,0.043
2003,colima,colima,64,50.944,23.819,209.69400000000002,11.472,159.429,1.783,0.5740000000000001,22.991,23.395,0.404,2.158,2.497,0.792,0.0,0.0,35.546,29.138,1675711.817,117449.08499999999,11.706,0.792
2003,colima,coquimatlan,7,0.448,0.154,3.815,0.106,3.199,0.012,0.0,0.323,0.15,-0.173,0.011,0.0,0.0,0.0,0.0,12.074,10.773,272500.0,23333.333,0.21,0.0
2003,colima,cuauhtemoc,16,1.238,0.685,5.317,0.16,4.249,0.042,0.0,0.303,0.44,0.137,0.038,0.0,0.087,0.0,0.0,20.24,16.833,171516.129,34333.333,0.206,0.087
2003,colima,manzanillo,46,45.385,13.96,112.373,6.539,66.86500000000001,0.859,0.634,13.442,12.768,-0.6739999999999999,1.526,0.975,6.521000000000001,0.0,0.0,86.41499999999999,57.235,1108515.949,94015.909,5.617000000000001,6.521000000000001
2003,colima,tecoman,49,18.083,11.331,78.746,4.075,59.827,0.721,0.434,8.506,7.604,-0.902,1.024,0.575,3.204,0.0,0.0,42.461,34.694,1114554.97,88877.551,4.355,3.204
2003,colima,villa de alvarez,20,12.315999999999999,3.76,60.713,2.557,48.918,0.281,0.182,6.196,6.633,0.437,0.5790000000000001,0.37,0.052000000000000005,0.0,0.0,27.784,23.489,1215404.5920000002,80692.308,2.433,0.052000000000000005
2003,chiapas,acacoyagua,6,0.137,0.518,0.532,0.049,0.411,0.033,0.0,0.023,0.039,0.016,0.01,0.0,0.135,0.004,0.0,25.472,20.301,48363.636,13000.0,0.013,0.131
2003,chiapas,acala,12,1.882,0.799,4.455,0.145,2.698,0.08,0.0,0.118,0.242,0.124,0.043,0.05,0.0,0.0,0.0,55.552,35.713,135000.0,11133.333,0.167,0.0
2003,chiapas,altamirano,5,0.487,0.411,0.89,0.027,0.411,0.056,0.0,0.046,0.054,0.008,0.009,0.0,0.002,0.0,0.0,116.545,53.82,111250.0,0.0,0.0,0.002
2003,chiapas,amatenango de la frontera,3,0.104,0.024,0.223,0.001,0.119,0.002,0.0,0.008,0.008,0.0,0.001,0.0,0.003,0.0,0.0,87.395,46.637,55750.0,0.0,0.0,0.003
2003,chiapas,angel albino corzo,11,1.335,1.077,5.225,0.252,3.855,0.088,0.005,0.36,0.316,-0.044,0.045,0.0,0.004,0.0,0.0,33.563,25.129,237500.0,16500.0,0.066,0.004
2003,chiapas,arriaga,20,9.690000000000001,1.4769999999999999,37.287,1.472,27.92,0.134,0.11199999999999999,1.5310000000000001,1.794,0.263,0.173,0.133,0.218,0.0,0.0,57.251999999999995,44.507,1319450.142,43315.217000000004,1.022,0.218
2003,chiapas,berriozabal,11,1.872,0.444,6.172,0.183,4.526,0.1,0.0,0.699,0.92,0.221,0.042,0.0,0.0,0.0,0.0,28.343,22.084,228592.593,18000.0,0.288,0.0
2003,chiapas,bochil,18,1.827,1.194,6.131,0.352,4.419,0.07400000000000001,0.036,0.29000000000000004,0.40099999999999997,0.111,0.076,0.0,0.111,0.0,0.0,53.431,42.166,397131.25,31066.667,0.422,0.111
2003,chiapas,cacahoatan,13,1.922,0.765,6.726,0.831,4.918,0.051000000000000004,0.0,0.738,0.844,0.106,0.118,0.087,0.0,0.0,0.0,51.214,40.381,328820.0,42000.0,0.42000000000000004,0.0
2003,chiapas,cintalapa,17,3.015,1.659,14.753,0.631,12.813,0.111,0.102,0.061,1.134,1.073,0.089,0.036,0.0,0.0,0.0,9.68,8.825,378282.051,26666.667,0.64,0.0
2003,chiapas,coapilla,5,0.082,0.235,0.388,0.031,0.313,0.022,0.001,0.006,0.009,0.003,0.004,0.0,0.0,0.0,0.0,25.566,20.361,55428.571,0.0,0.0,0.0
2003,chiapas,comitan de dominguez,52,39.551,3.3819999999999997,119.49000000000001,4.329,80.959,0.309,0.28400000000000003,7.083,8.019,0.9359999999999999,0.371,0.6900000000000001,0.003,0.0,0.0,79.964,57.114,1176806.708,56095.119999999995,4.277,0.003
2003,chiapas,la concordia,7,0.176,0.6950000000000001,1.0150000000000001,0.054,0.8520000000000001,0.098,0.0,0.011,0.02,0.009,0.01,0.0,0.058,0.0,0.0,34.855000000000004,29.665,184107.14299999998,14000.0,0.014,0.058
2003,chiapas,copainala,5,0.977,0.421,2.486,0.16,1.552,0.039,0.017,0.1,0.123,0.023,0.013,0.0,0.016,0.0,0.0,53.741,34.956,177571.429,17000.0,0.085,0.016
2003,chiapas,chicomuselo,9,0.344,0.132,1.133,0.098,0.803,0.008,0.0,0.028,0.042,0.014,0.01,0.0,0.0,0.0,0.0,31.591,24.007,75533.333,19333.333,0.058,0.0
2003,chiapas,escuintla,15,1.733,1.461,6.765,0.21,5.267,0.076,0.001,0.489,0.723,0.234,0.057,0.0,0.0,0.0,0.0,23.134,18.788,250555.556,20727.273,0.228,0.0
2003,chiapas,frontera comalapa,12,5.127,0.393,9.775,0.312,4.984,0.031,0.015,0.325,0.54,0.215,0.053,0.144,0.0,0.0,0.0,78.278,43.908,287500.0,28333.333,0.51,0.0
2003,chiapas,frontera hidalgo,3,0.203,0.019,0.531,0.045,0.331,0.002,0.0,0.0,0.001,0.001,0.008,0.0,0.002,0.0,0.0,42.742,29.944,88500.0,20500.0,0.041,0.002
2003,chiapas,huehuetan,13,0.8,0.484,2.897,0.117,2.125,0.032,0.001,0.143,0.167,0.024,0.045,0.0,0.015,0.0,0.0,31.027,23.68,120708.333,22500.0,0.09,0.015
2003,chiapas,huixtla,19,2.587,2.043,8.822,0.745,6.433,0.117,0.118,0.285,0.482,0.197,0.072,0.091,0.053,0.0,0.0,18.305,15.473,172980.392,42708.333,1.025,0.053
2003,chiapas,la independencia,3,0.123,0.305,0.326,0.009,0.213,0.033,0.0,0.01,0.02,0.01,0.007,0.0,0.0,0.0,0.0,53.052,34.663,65200.0,0.0,0.0,0.0
2003,chiapas,ixhuatan,6,0.297,0.42,0.757,0.071,0.558,0.027,0.005,0.0,0.065,0.065,0.007,0.048,0.003,0.0,0.0,28.088,21.929,68818.182,33000.0,0.066,0.003
2003,chiapas,ixtapa,5,0.369,0.412,1.24,0.037,0.868,0.026,0.002,0.042,0.034,-0.008,0.005,0.0,0.001,0.0,0.0,35.816,26.371,112727.273,16666.667,0.05,0.001
2003,chiapas,juarez,7,1.037,0.958,3.506,0.142,2.503,0.058,0.002,0.005,0.038,0.033,0.033,0.0,0.01,0.0,0.0,27.537,21.592,184526.316,20583.333,0.247,0.01
2003,chiapas,larrainzar,3,0.041,0.018,0.154,0.002,0.118,0.003,0.0,0.014,0.019,0.005,0.0,0.0,0.0,0.0,0.0,30.508,23.377,25666.667,0.0,0.0,0.0
2003,chiapas,mapastepec,17,9.653,5.21,29.72,0.95,20.511000000000003,0.435,0.0,1.045,1.4849999999999999,0.44,0.131,0.056,0.0,0.0,0.0,68.614,50.263999999999996,1190477.777,38176.471000000005,0.379,0.0
2003,chiapas,las margaritas,20,1.937,1.626,9.445,0.329,8.423,0.156,0.001,0.308,1.102,0.794,0.045,0.113,0.36400000000000005,0.0,0.0,15.737,14.589,587443.182,32083.333,0.364,0.36400000000000005
2003,chiapas,motozintla,16,3.245,0.832,9.481,0.302,6.329,0.082,0.002,0.133,0.226,0.093,0.024,0.06,0.048,0.0,0.0,39.838,28.489,225738.095,26529.412,0.451,0.048
2003,chiapas,ocosingo,30,8.003,2.453,24.527,1.077,17.597,0.211,0.118,1.544,1.8559999999999999,0.312,0.135,0.22699999999999998,1.094,0.0,0.0,56.206,43.799,779789.642,59398.268000000004,1.487,1.094
2003,chiapas,ocozocoautla de espinosa,24,3.493,2.015,19.028,0.871,17.518,0.189,0.098,0.9390000000000001,2.591,1.652,0.12,0.156,0.017,0.003,0.0,16.359,12.062000000000001,614916.667,51312.28,0.9199999999999999,0.014
2003,chiapas,oxchuc,12,0.626,1.195,1.678,0.08,1.147,0.072,0.0,0.077,0.133,0.056,0.016,0.0,0.04,0.0,0.0,45.03,31.049,98705.882,10000.0,0.01,0.04
2003,chiapas,palenque,18,4.396,1.135,16.266,1.051,11.579,0.073,0.07,0.993,0.65,-0.343,0.106,0.014,0.09,0.0,0.0,21.551,17.73,312807.692,57968.75,1.855,0.09
2003,chiapas,pichucalco,15,1.532,1.211,6.01,0.253,4.597,0.074,0.015,0.186,0.299,0.113,0.031,0.0,0.015,0.0,0.0,27.008,21.265,231153.846,20142.857,0.141,0.015
2003,chiapas,pijijiapan,13,10.347,1.052,44.589,1.8130000000000002,34.606,0.097,0.13999999999999999,1.664,2.012,0.34800000000000003,0.21499999999999997,0.142,0.0,0.0,0.0,40.580999999999996,33.422,1356964.286,69120.91500000001,1.214,0.0
